portuguese,english
would you like something to drink,voce quer tomar alguma coisa
i plan to hire someone who can speak english,pretendo contratar alguem que saiba falar ingles
act like adults,comportemse como adultos
tom is a man now,tom ja e um adulto
tom wants to study in boston,tom quer estudar em boston
tom took a cold shower this morning,tom tomou um banho frio esta manha
he likes to cook for his family,ele gosta de cozinhar para a familia
we just dont know,simplesmente nao sabemos
my brother wants to study abroad,meu irmao quer estudar no exterior
he plays poker with them,ele joga poquer com elas
i am not a doctor but a teacher,eu nao sou medico mas professor
tom wasnt born rich,tom nao nasceu rico
tom was a good man,tom era um bom homem
well what else could you do,bem e o que mais voce poderia fazer
can we turn the tv off,podemos desligar a tv
her mother lives in the country all by herself,a mae dela vive sozinha no campo
tom said he thought mary wasnt having fun,o tom disse que achava que a mary nao se estava a divertir
whatll tom do,o que tom fara
sorry i was distracted,desculpe eu estava distraido
shell love him forever,ela o amara para sempre
tom has about thirty cookbooks,o tom tem cerca de trinta livros de receitas
a dish can be spicy without being hot,um prato pode ser apimentado sem que seja quente
when was the last time that you played chess,quando foi a ultima vez que voce jogou xadrez
the file that i need seems to have been deleted,o arquivo que eu preciso parece ter sido excluido
thats going to be difficult,isso vai ser dificil
it was so dark,estava tao escuro
tom has a beautiful wife,tom tem uma bela esposa
it was a trap,era uma armadilha
tom should apply for this job,o tom devia de concorrer a este posto
are your fingers broken,os seus dedos estao quebrados
i think i forgot to tell tom that,acho que esqueci de contar isso para o tom
tom is better at cooking than me,tom cozinha melhor do que eu
tom says he needs to study french,o tom diz que ele precisa estudar frances
tom followed me here,tom me seguiu ate aqui
ill be there,eu estarei la
why arent you dressed,por que voce nao esta vestida
i cant afford to buy a car,nao tenho condicoes de comprar um carro
i think thats why tom didnt do that,eu acho que e por isso que tom nao fez isso
if i had known his address i would have written to him,se eu soubesse o endereco dele eu teria escrito para ele
the wound became infected,a ferida se infectou
which chair did you put the book on,em qual cadeira voce colocou o livro
you are really talented,voce tem realmente talento
im trying to sleep,eu estou tentando dormir
the answer to this question is simple,a resposta a esta pergunta e simples
dont you think thats a little harsh,voce nao acha que isso e um pouco duro
she trusted you,ela confiou em ti
tom hopes mary does that,tom espera que mary faca isso
tom gave me that,tom me deu isso
i dont think tom is retired yet,nao penso que o tom tenha se aposentado ainda
i have to keep trying,tenho de continuar tentando
ive decided to stay for a few more days,eu decidi ficar por mais alguns dias
i love korean food,eu amo comida coreana
could you ask tom to stop by after work,voce pode pedir a tom que passe por aqui depois do trabalho
whats the real reason you dont want to do this,qual e o verdadeiro motivo de voce nao querer fazer isto
tom is watching the evening news,tom esta assistindo o jornal da noite
i just wasnt paying attention,eu so nao estava prestando atencao
did you practice the piano this morning,exercitouse ao piano hoje de manha
that naughty child needs a good beating,aquela crianca travessa precisa de boas palmadas
im hiding,eu estou me escondendo
i know how happy you are,eu sei o quao feliz voce esta
do you have something to say,tem algo a dizer
tom wants to know your opinion,tom quer saber a sua opiniao
i miss my wife,sinto saudades de minha esposa
im not your friend,nao sou sua amiga
she gave him a lot of money,ela lhe deu bastante dinheiro
i think this table takes up too much space,eu acho que esta mesa ocupa muito espaco
i was intrigued,eu fiquei intrigado
do you have any trouble with that,voce tem algum problema com isso
i guess i havent made myself clear,acho que nao fui claro o suficiente
i have a lot of plans for the future,tenho muitos planos para o futuro
its a squirrel,e um esquilo
i was disappointed with the results,eu estava decepcionado com os resultados
i dont want tom to go to jail,nao quero que tom va para a cadeia
let me introduce you to my parents,deixeme apresentalo aos meus pais
did you sing,voces cantaram
i dont want tom to see me like this,nao quero que o tom me veja assim
whos your french teacher,quem e a sua professora de frances
ive been learning a lot since i came here,tenho aprendido muito desde que cheguei aqui
well all go to boston next weekend,todos nos vamos para boston no proximo final de semana
were no different than tom,nao somos diferentes de tom
youre a beautiful young woman,voce e uma linda moca
his father died last year,seu pai morreu no ano passado
this store sells vintage jewelry,esta loja vende joias antigas
toms ugly,tom e feio
such painters as picasso are rare,sao raros os pintores como picasso
they asked me for my name my address and the purpose of my trip,eles perguntaram o meu nome o meu endereco e o proposito da minha viagem
were reliable,nos somos confiaveis
i hope youre correct,espero que tenha razao
i dont go to school by bus,eu nao vou a escola de onibus
please eat youre hungry arent you,coma por favor esta com fome nao esta
the soldiers are ready for battle,os soldados estao prontos para a batalha
tom needs to be medicated,tom precisa ser medicado
lets walk on the beach after dinner,vamos caminhar na praia depois do jantar
after the meal i asked for the bill,depois da refeicao pedi que me trouxessem a conta
do you always do that,voce sempre faz isso
tom claimed he killed mary in selfdefense,tom alegou ter matado maria em defesa propria
im very sorry but we cant let you out,sinto muito mas nao podemos deixala sair
im stronger than you,eu sou mais forte que voce
she graduated in 1996,ela se formou em 1996
that wasnt my intention,nao era essa a minha intencao
tom could barely sit up,tom mal conseguia ficar sentado
can you tell me about yourself,voce pode me falar sobre voce
i cant tie a tie,nao sei dar no em gravata
would you wait here for a minute,querem esperar aqui um minuto
she made up her mind to go to college,ela decidiu ir para a faculdade
tom is a famous artist,tom e um artista famoso
im not sure im ready for this,nao tenho certeza se estou preparado para isto
are you a paleontologist,voce e paleontologo
did you enjoy the game,voces gostaram do jogo
youre special,voce e especial
sometimes i forget youre a girl,as vezes eu esqueco que voce e uma garota
tom seems to know what to do,tom parece saber o que fazer
the pantry was empty,a despensa estava vazia
anniversaries are important,aniversarios sao importantes
tom dropped his pencil,tom deixou cair o seu lapis
theres a theory that dog owners often resemble their dogs,ha uma teoria segundo a qual frequentemente os proprietarios de caes ficam parecidos com os proprios caes
well be getting married in october,vamos nos casar em outubro
do you like tom,voces gostam do tom
where did you get your hair cut,onde voce cortou o cabelo
im eating now,eu estou comendo agora
tom seems to be depressed,tom parece estar deprimido
its still there,isso ainda esta la
its almost lunchtime,esta quase na hora do almoco
the truth is that i dont really love you anymore,a verdade e que eu realmente nao te amo mais
you really annoy me,voce realmente me aborrece
ive been in australia way longer than you have,estou na australia ha muito mais tempo que tu
tell me something i dont already know,digamme algo que eu ainda nao saiba
everyone knows me,todos me conhecem
there were four chairs by the table,havia quatro cadeiras perto da mesa
the tall man looked at tom and smiled,o homem alto olhou para tom e sorriu
im sure tom will be relieved,eu tenho certeza de que o tom ficara aliviado
it was a very romantic kiss,foi um beijo muito romantico
ive been hoping to hear from you,eu venho tendo esperancas de ter noticias suas
do you know who lives in that house,voces sabem quem vive naquela casa
